,Car Model,Year of Production,Engine Volume,Mileage,Fuel,Gearbox Mechanism,Steering Wheel Location,Color,Body Type,Location,Price in USD
0,BMW 5 серии,2018,2.0,148000.0, бензин, автомат,руль слева,белый,седан,Бишкек,30600
1,BMW X7,2020,4.4,128747.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,65000
2,BMW 7 серии,2022,3.0,18000.0, бензин, автомат,руль слева,черный,седан,Бишкек,107700
3,BMW X7,2019,4.4,70000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,63000
4,BMW X7,2020,3.0,117000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,66500
5,BMW X5,2017,3.0,160000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,27000
6,BMW X5,2020,3.0,99000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,44900
7,BMW 5 серии,2021,2.0,80000.0, гибрид, автомат,руль слева,синий,седан,Бишкек,35000
8,BMW 5 серии,2019,4.4,64000.0, бензин, автомат,руль слева,синий,седан,Бишкек,45000
9,BMW X6,2022,3.0,37161.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,90000
10,BMW 5 серии,2018,2.0,50000.0, дизель, автомат,руль слева,белый,седан,Бишкек,27000
11,BMW 5 серии,2023,2.0,1200.0, бензин, автомат,руль слева,белый,седан,Бишкек,38800
12,BMW 5 серии,2017,2.0,131966.0, бензин, автомат,руль слева,белый,седан,Бишкек,25000
13,BMW 5 серии,2021,2.0,31000.0, бензин, автомат,руль слева,черный,седан,Ош,32000
14,BMW X2,2024,2.0,10.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Бишкек,52500
15,BMW X5,2023,3.0,23000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,93000
16,BMW 7 серии,2017,3.0,117000.0, дизель, автомат,руль слева,серый,седан,Бишкек,35000
17,BMW X6,2012,4.4,186000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,18800
18,BMW 5 серии,2017,3.0,94000.0, бензин, автомат,руль слева,синий,седан,Бишкек,38800
19,BMW 5 серии,2019,2.0,84000.0, бензин, автомат,руль слева,белый,седан,Южная,31800
20,BMW 5 серии,2022,2.0,28000.0, бензин, автомат,руль слева,белый,седан,Южная,47600
21,BMW X3,2022,2.0,53900.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,45500
22,BMW X5,2018,3.0,100000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,55000
23,BMW X6,2008,3.0,245245.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,13900
24,BMW X5,2018,3.0,150000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,35000
25,BMW 5 серии,2018,2.0,49000.0, бензин, автомат,руль слева,белый,седан,Бишкек,24500
26,BMW 3 серии,2023,2.0,40000.0, бензин, автомат,руль слева,черный,седан,Бишкек,36000
27,BMW X5,2016,3.0,240000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,32000
28,BMW 5 серии,2018,3.0,116000.0, дизель, автомат,руль слева,черный,седан,Бишкек,34000
29,BMW X5,2018,3.0,125528.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,23500
30,BMW X7,2020,4.4,98000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,81500
31,BMW 5 серии,2018,2.0,140000.0, бензин, автомат,руль слева,синий,седан,Бишкек,27500
32,BMW X5,2018,3.0,160000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,39500
33,BMW M8,2021,4.4,17000.0, бензин, автомат,руль слева,вишня,седан,Бишкек,125000
34,BMW X7,2022,3.0,35000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,123000
35,BMW 5 серии,2018,2.0,117000.0, дизель, автомат,руль слева,белый,седан,Бишкек,26000
36,BMW 5 серии,2012,2.0,191500.0, дизель, автомат,руль слева,белый,универсал,Бишкек,11200
37,BMW 5 серии,2011,3.0,190000.0, бензин, автомат,руль слева,серый,седан,Бишкек,20500
38,BMW 5 серии,2019,2.0,144840.0, гибрид, автомат,руль слева,серебристый,седан,Бишкек,26000
39,BMW M4,2022,3.0,24000.0, бензин, автомат,руль слева,черный,купе,Бишкек,95000
40,BMW 7 серии,2018,3.0,124000.0, дизель, автомат,руль слева,синий,седан,Бишкек,43000
41,BMW X5,2018,3.0,250000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,40900
42,BMW X5,2018,3.0,86904.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,52000
43,BMW X7,2019,4.4,57936.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,59000
44,BMW X7,2019,3.0,79000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,69500
45,BMW X5 M,2016,4.4,192000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,27800
46,BMW X5,2004,4.8,300000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,13500
47,BMW 5 серии,2018,3.0,77000.0, бензин, автомат,руль слева,белый,седан,Бишкек,36500
48,BMW 5 серии,2018,2.0,150000.0, бензин, автомат,руль слева,черный,седан,Бишкек,24500
49,BMW 7 серии,2024,3.0,8.0, бензин, автомат,руль слева,черный,седан,Россия,168000
50,BMW X7,2024,3.0,8.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Россия,185000
51,BMW X5,2024,3.0,8.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Россия,199000
52,BMW 5 серии,2022,2.0,21245.0, бензин, автомат,руль слева,белый,седан,Бишкек,38500
53,BMW 5 серии,2022,2.0,4950.0, бензин, автомат,руль слева,белый,седан,Бишкек,41500
54,BMW 5 серии,2002,3.0,180000.0, бензин, автомат,руль слева,синий,седан,Бишкек,6000
55,BMW X5 M,2024,4.4,8.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Россия,165800
56,BMW X3,2022,2.0,36600.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,44300
57,BMW X1,2023,2.0,5830.0, бензин, робот,руль слева,серебристый,внедорожник 5 дв.,Бишкек,41000
58,BMW 5 серии,2024,2.0,18.0, бензин, автомат,руль слева,черный,седан,Китай,68500
59,BMW X3,2023,2.0,8.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Китай,47200
60,BMW X1,2024,2.0,8.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,54800
61,BMW X1,2024,2.0,8.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,39800
62,BMW 5 серии,2019,3.0,62000.0, бензин, автомат,руль слева,белый,седан,Бишкек,32000
63,BMW X7,2022,3.0,30000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,80000
64,BMW 5 серии,2023,2.0,7250.0, бензин, автомат,руль слева,черный,седан,Китай,40000
65,BMW iX3,2024,,50.0, электро, автомат,руль слева,черный,внедорожник 5 дв.,Китай,45000
66,BMW X5,2010,3.0,276000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,15000
67,BMW 5 серии,2011,2.5,180000.0, бензин, автомат,руль слева,белый,седан,Бишкек,15700
68,BMW X7,2023,3.0,9880.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,130800
69,BMW 5 серии,2018,2.0,127000.0, дизель, автомат,руль слева,черный,седан,Бишкек,20500
70,BMW 5 серии,2018,2.0,117000.0, дизель, автомат,руль слева,белый,седан,Бишкек,22000
71,BMW X7,2019,3.0,193121.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,52800
72,BMW X3,2017,3.0,142700.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,23900
73,BMW X5 M,2017,4.4,120000.0, бензин, автомат,руль слева,зеленый,внедорожник 5 дв.,Бишкек,53000
74,BMW 7 серии,2018,3.0,69000.0, дизель, автомат,руль слева,серый,седан,Бишкек,37900
75,BMW X7,2021,3.0,23000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,95800
76,BMW X7,2020,3.0,46000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,85000
77,BMW X3,2024,2.0,5.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,68000
78,BMW 5 серии,2018,2.0,120000.0, бензин, автомат,руль слева,серый,седан,Бишкек,29800
79,BMW X2,2018,2.0,116000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,18000
80,BMW 7 серии,2009,4.4,120000.0, бензин, автомат,руль слева,черный,седан,Бишкек,15000
81,BMW X1,2024,2.0,10.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,47000
82,BMW 5 серии,2000,2.5,250000.0, бензин, автомат,руль слева,черный,седан,Бишкек,6543
83,BMW 5 серии,1994,2.0,216000.0, бензин, механика,руль слева,зеленый,седан,Бишкек,9500
84,BMW 5 серии,2018,3.0,60000.0, бензин, автомат,руль слева,белый,седан,Бишкек,32000
85,BMW 7 серии,2000,3.5,200000.0, бензин, автомат,руль слева,черный,седан,Бишкек,15900
86,BMW X6,2020,3.0,110000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,76000
87,BMW X5,2011,4.4,75000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,24000
88,BMW X5,2017,3.0,143295.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Ош,32000
89,BMW 3 серии,2018,2.0,53000.0, бензин, автомат,руль слева,белый,седан,Бишкек,19500
90,BMW X5,2019,3.0,88000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,49999
91,BMW 5 серии,1999,2.8,400000.0, бензин, механика,руль слева,хамелеон,седан,Кызыл-Кия,5166
92,BMW 5 серии,2003,3.0,236000.0, бензин, механика,руль слева,синий,седан,Бишкек,8000
93,BMW X3,2019,2.0,56000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,27500
94,BMW 5 серии,2020,2.0,13000.0, бензин, автомат,руль слева,серый,седан,Ош,29000
95,BMW X5,2019,3.0,90500.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,54000
96,BMW X5,2001,3.0,330000.0, бензин, автомат,руль слева,серебристый,внедорожник 5 дв.,Токмок,8500
97,BMW X1,2021,2.0,28000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,30000
98,BMW 5 серии,2018,2.0,80000.0, бензин, автомат,руль слева,белый,седан,Бишкек,24900
99,BMW 5 серии,2018,3.0,147000.0, бензин, автомат,руль слева,черный,седан,Бишкек,30000
100,BMW 4 серии,2019,2.0,103000.0, бензин, автомат,руль слева,серебристый,лифтбек,Баткен,18500
101,BMW X5,2018,3.0,194439.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,25900
102,BMW X5 M,2020,4.4,89000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,85999
103,BMW X5,2016,3.0,90000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,33000
104,BMW M5,2018,4.4,62000.0, бензин, автомат,руль слева,черный,седан,Бишкек,76000
105,BMW X5,2023,3.0,13000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,122500
106,BMW 5 серии,2005,3.0,350000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,8610
107,BMW 5 серии,2002,3.0,358659.0, бензин, автомат,руль слева,серебристый,седан,Токмок,13500
108,BMW X7,2022,3.0,62000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,77000
109,BMW 7 серии,2019,3.0,120000.0, бензин, автомат,руль слева,синий,седан,Бишкек,50900
110,BMW X5,2008,4.8,206000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Кант,14200
111,BMW 7 серии,2002,4.4,111000.0, бензин, автомат,руль слева,синий,седан,Ала-Бука,7462
112,BMW 5 серии,2016,3.0,151000.0, бензин, автомат,руль слева,черный,седан,Бишкек,26000
113,BMW 5 серии,2016,2.0,250000.0, бензин, автомат,руль слева,черный,седан,Бишкек,15999
114,BMW X3,2018,3.0,180000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,35500
115,BMW M5,2021,4.4,25530.0, бензин, автомат,руль слева,белый,седан,Бишкек,100000
116,BMW 7 серии,2019,3.0,37300.0, бензин, автомат,руль слева,черный,седан,Бишкек,65000
117,BMW X7,2019,3.0,120500.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,63000
118,BMW X5,2018,3.0,129300.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,55000
119,BMW 5 серии,1998,2.5,315000.0, бензин, автомат,руль слева,черный,седан,Базар-Коргон,3444
120,BMW 7 серии,2003,3.6,288000.0, бензин, автомат,руль слева,синий,седан,Бишкек,6999
121,BMW 5 серии,2003,3.0,216000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,13000
122,BMW 4 серии,2017,2.0,152000.0, бензин, автомат,руль слева,белый,лифтбек,Бишкек,22000
123,BMW 6 серии,2017,3.0,120000.0, дизель, автомат,руль слева,белый,седан,Бишкек,39000
