,Car Model,Year of Production,Engine Volume,Mileage,Fuel,Steering Wheel Location,Color,Body Type,Location,Price in USD
0,Mercedes-Benz A-Класс,2002,1.4,380000.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Сокулук,4075
1,Opel Astra,2000,1.6,200000.0, бензин,руль слева,серебристый,универсал,Джалал-Абад,4420
2,Mitsubishi Carisma,1999,1.8,404123.0, бензин,руль слева,синий,седан,Джалал-Абад,210000
3,Daewoo Matiz,1999,0.8,192600.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Кызыл-Кия,1607
4,Audi A6,2002,2.4,366725.0, бензин,руль слева,серебристый,седан,Бишкек,4821
5,BMW 3 серии,2003,1.8,148852.0, бензин,руль слева,серый,седан,Джалал-Абад,4190
6,Opel Vectra,2003,1.8,355048.0, бензин,руль слева,синий,седан,Кызыл-Кия,3329
7,Hyundai Accent,2006,1.5,245000.0, бензин,руль слева,черный,седан,Кызыл-Кия,3674
8,Daewoo Matiz,1998,0.8,222253.0, бензин,руль слева,зеленый,хэтчбек 5 дв.,Кочкор-Ата,1837
9,Daihatsu Sirion,2003,1.0,150000.0, бензин,руль слева,бирюзовый,хэтчбек 5 дв.,Бишкек,3214
10,Dodge Challenger,2018,6.4,40234.0, бензин,руль слева,зеленый,купе,Бишкек,43500
11,Toyota Corolla,2003,1.6,175000.0, бензин,руль слева,серебристый,универсал,Кызыл-Кия,7232
12,Mercedes-Benz W124,1989,2.0,382247.0, бензин,руль слева,черный,седан,Тюп,2870
13,Hyundai Getz,2007,1.4,280697.0, бензин,руль слева,синий,хэтчбек 5 дв.,Ош,5395
14,Hyundai Solaris,2013,1.4,430000.0, бензин,руль слева,черный,седан,Ош,5166
15,Nissan Almera,1999,1.4,250000.0, бензин,руль слева,черный,седан,Бишкек,918
16,Subaru Impreza WRX,2018,2.0,199558.0, бензин,руль слева,синий,седан,США,16100
17,Hyundai Getz,2008,1.4,255000.0, бензин,руль слева,голубой,хэтчбек 3 дв.,Джалал-Абад,5800
18,Toyota Corolla,2003,2.0,270000.0, дизель,руль слева,серебристый,универсал,Джалал-Абад,4936
19,Daewoo Nexia,1995,1.5,345000.0, бензин,руль слева,бирюзовый,седан,Ноокат,1148
20,BMW 5 серии,1991,2.0,134560.0, бензин,руль слева,бирюзовый,седан,Кызыл-Кия,3329
21,Daewoo Matiz,2005,0.8,134567.0, бензин,руль слева,бирюзовый,хэтчбек 5 дв.,Кызыл-Кия,3214
22,Audi 80,1989,1.8,200000.0, бензин,руль слева,серый,седан,Бишкек,4592
23,Hyundai Getz,2003,1.3,255555.0, бензин,руль слева,голубой,хэтчбек 5 дв.,Ош,4994
24,Opel Astra,1993,1.6,235460.0, бензин,руль слева,белый,универсал,Ноокат,1091
25,Nissan Primera,2001,1.8,250520.0, бензин,руль слева,синий,хэтчбек 5 дв.,Бишкек,2400
26,Toyota Corolla,1989,1.8,350350.0, дизель,руль слева,красный,хэтчбек 5 дв.,Бишкек,689
27,Nissan Primera,2002,2.0,234567.0, бензин,руль слева,зеленый,хэтчбек 5 дв.,Бишкек,4147
28,Volkswagen Caddy,2005,1.4,250520.0, бензин,руль слева,белый,компактвэн,Бишкек,2411
29,Toyota HiAce,2008,2.7,238624.0, бензин,руль слева,серебристый,минивэн,Кадамжай,14579
30,Nissan Primera,2001,1.8,350000.0, бензин,руль слева,черный,универсал,Кара-Куль,3214
31,Opel Zafira,2008,1.8,370000.0, бензин,руль слева,синий,компактвэн,Джалал-Абад,5395
32,Chevrolet Lanos,2008,1.5,304372.0, бензин,руль слева,серебристый,седан,Ала-Бука,2468
33,Volkswagen Golf,2003,1.6,260000.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Бишкек,7117
34,Honda Jazz,2008,1.5,400000.0, бензин,руль слева,черный,хэтчбек 5 дв.,Джалал-Абад,7462
35,Mitsubishi Lancer,1991,1.5,409000.0, бензин,руль слева,вишня,седан,Бишкек,1378
36,Toyota Avensis Verso,2003,2.0,460000.0, дизель,руль слева,хамелеон,компактвэн,Кызыл-Суу,6199
37,Honda HR-V,1999,1.6,144310.0, бензин,руль слева,серебристый,внедорожник 3 дв.,Кадамжай,4925
38,Honda Jazz,2002,1.5,331986.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Кызыл-Кия,6073
39,Mercedes-Benz W124,1989,2.3,12232.0, бензин,руль слева,серебристый,седан,Джалал-Абад,3042
40,Daewoo Matiz,2003,0.8,112212.0, бензин,руль слева,синий,хэтчбек 5 дв.,Джалал-Абад,1722
41,Mercedes-Benz W124,1988,2.3,478022.0, бензин,руль слева,бежевый,седан,Бишкек,2296
42,Mitsubishi Colt,2008,1.3,278000.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Бишкек,7000
43,Hyundai Getz,2003,1.3,250000.0, бензин,руль слева,голубой,хэтчбек 5 дв.,Ош,4764
44,Volkswagen Vento,1992,1.8,220000.0, бензин,руль слева,серебристый,седан,Токмок,3788
45,BMW 5 серии,2002,2.0,430000.0, дизель,руль слева,серебристый,седан,Бишкек,5510
46,Mercedes-Benz W124,1992,2.3,250000.0, бензин,руль слева,баклажан,седан,Бишкек,2640
47,Kia Rio,2016,1.6,190000.0, бензин,руль слева,белый,седан,Кочкор-Ата,7921
48,Daewoo Matiz,2007,0.8,260000.0, бензин,руль слева,бирюзовый,хэтчбек 5 дв.,Кызыл-Кия,4075
49,Honda Jazz,2010,1.2,293000.0, бензин,руль слева,голубой,хэтчбек 5 дв.,Узген,8036
50,Daewoo Nexia,2005,1.6,236000.0, бензин,руль слева,золотистый,седан,Бишкек,2640
51,Toyota Corolla,1994,1.3,215521.0, бензин,руль слева,серебристый,седан,Таш-Кумыр,804
52,Mercedes-Benz A-Класс,2000,1.4,170000.0, бензин,руль слева,черный,хэтчбек 5 дв.,Ош,2870
53,Daewoo Matiz,2002,0.8,300000.0, бензин,руль слева,зеленый,хэтчбек 5 дв.,Маасы,2239
54,Daewoo Nexia,2012,1.5,160000.0, бензин,руль слева,серебристый,седан,Кочкор-Ата,2526
55,Mercedes-Benz W123,1983,3.0,420000.0, дизель,руль слева,зеленый,седан,Бишкек,9500
56,Honda Jazz,2005,1.2,40000.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Джалал-Абад,6084
57,Toyota Corolla,2003,1.4,280000.0, бензин,руль слева,серебристый,хэтчбек 3 дв.,Базар-Коргон,6084
58,Daewoo Nexia,2009,1.5,293991.0, бензин,руль слева,вишня,седан,Джалал-Абад,2526
59,ВАЗ (Lada) 2106,2001,1.5,100000.0, бензин,руль слева,синий,седан,Базар-Коргон,1550
60,Daewoo Matiz,2006,0.8,138800.0, бензин,руль слева,синий,хэтчбек 5 дв.,Токтогул,2526
61,Daewoo Kalos,2002,1.4,350000.0, бензин,руль слева,серебристый,седан,Таш-Кумыр,4362
62,Mitsubishi Lancer,2005,1.6,257800.0, бензин,руль слева,серебристый,седан,Токтогул,5395
63,Toyota Corolla Verso,2002,1.6,350000.0, бензин,руль слева,синий,компактвэн,Талас,5568
64,Honda Civic,2004,2.0,200000.0, бензин,руль слева,красный,хэтчбек 3 дв.,Узген,3387
65,Toyota Camry,2002,2.4,265000.0, бензин,руль слева,белый,седан,Кызыл-Суу,8380
66,Chevrolet Lanos,2007,1.5,210000.0, бензин,руль слева,синий,седан,Ош,2009
67,Volkswagen Passat,1992,1.8,255565.0, бензин,руль слева,голубой,универсал,Кочкор-Ата,2526
68,Audi 100,1992,2.3,300000.0, бензин,руль слева,синий,универсал,Сокулук,3214
69,Opel Vectra,1991,1.6,300000.0, бензин,руль слева,бордовый,седан,Ноокат,1550
70,Chevrolet Lacetti,2007,1.6,240509.0, бензин,руль слева,синий,седан,Ноокат,4592
71,Mazda 626,2001,2.0,367304.0, бензин,руль слева,серебристый,седан,Бишкек,4248
72,Subaru Impreza WRX,2004,2.0,168100.0, бензин,руль слева,серый,седан,Бишкек,12000
73,Chevrolet Spark,2007,0.8,101100.0, бензин,руль слева,красный,хэтчбек 5 дв.,Ош,3788
74,Audi 100,1993,2.6,350759.0, бензин,руль слева,серебристый,седан,Бишкек,4248
75,Subaru WRX STi,2019,2.5,91861.0, бензин,руль слева,красный,седан,США,15500
76,ВАЗ (Lada) 2107,2010,1.6,92000.0, бензин,руль слева,серебристый,седан,Бишкек,4018
77,Mitsubishi Lancer,2005,1.6,290000.0, бензин,руль слева,серебристый,седан,Джалал-Абад,3387
78,Toyota Yaris Verso,2003,1.3,256808.0, бензин,руль слева,серебристый,компактвэн,Бишкек,6500
79,Daewoo Matiz,2006,0.8,160000.0, бензин,руль слева,золотистый,хэтчбек 5 дв.,Ноокат,2985
80,Mitsubishi Galant,1997,1.8,100000.0, бензин,руль справа,серебристый,седан,Джалал-Абад,1550
81,ВАЗ (Lada) 2107,2012,1.6,380000.0, бензин,руль слева,серый,седан,Ноокат,4018
82,Toyota Corolla,2005,1.6,373500.0, бензин,руль слева,серебристый,седан,Ош,5223
83,Chevrolet Matiz,2005,0.8,180800.0, бензин,руль слева,бордовый,хэтчбек 5 дв.,Баткен,2640
84,Honda CR-V,2003,2.0,300000.0, бензин,руль слева,серебристый,внедорожник 5 дв.,Ош,10500
85,Daewoo Nubira,2000,1.5,230000.0, бензин,руль слева,белый,седан,Гульча,1665
86,Daewoo Matiz,2010,0.8,124000.0, бензин,руль слева,бордовый,хэтчбек 5 дв.,Бишкек,2100
87,Honda Civic Ferio,2000,1.7,300000.0, бензин,руль слева,серебристый,седан,Ош,3444
88,Honda Civic,2000,1.6,300000.0, бензин,руль слева,серебристый,седан,Ош,3444
89,ВАЗ (Lada) 2107,2007,1.6,50000.0, бензин,руль слева,вишня,седан,Бишкек,1320
90,Opel Astra,2004,1.6,378000.0, бензин,руль слева,серый,универсал,Ош,3903
91,Daewoo Matiz,2013,0.8,132000.0, бензин,руль слева,белый,хэтчбек 5 дв.,Ош,3042
92,Toyota Auris,2007,1.6,220000.0, бензин,руль слева,серебристый,хэтчбек 5 дв.,Узген,7003
93,Daewoo Tico,1994,0.8,131213.0, бензин,руль слева,белый,хэтчбек 5 дв.,Кадамжай,1378
